trial_id,map_name,target_class,search_mode,selection_time,detection_time,reach_time,time_to_find_s,time_to_reach_s,total_time_s,path_length_m,safety_stops,avg_loop_latency_ms,max_loop_latency_ms,nav_goals_sent,nav_goals_canceled,result
1,map_fix1,person,SYSTEMATIC,717.784,767.031,798.545,49.25,31.51,80.76,11.16,0,1.8,12.2,2,1,SUCCESS
2,map_fix1,person,SYSTEMATIC,936.314,986.511,1010.708,50.20,24.20,74.39,10.34,0,1.9,16.4,2,1,SUCCESS
3,map_fix1,person,SYSTEMATIC,919.540,967.824,1010.910,48.28,43.09,91.37,12.57,22,1.7,12.2,3,2,SUCCESS
4,map_fix1,person,SYSTEMATIC,1167.650,1217.411,1241.534,49.76,24.12,73.88,9.99,0,1.8,14.3,2,1,SUCCESS
5,map_fix1,person,SYSTEMATIC,891.710,940.844,966.799,49.13,25.95,75.09,10.19,0,1.9,14.8,2,1,SUCCESS
6,map_fix1,person,SYSTEMATIC,883.234,931.066,955.449,47.83,24.38,72.21,9.89,0,2.0,15.1,2,1,SUCCESS
7,map_fix1,person,SYSTEMATIC,899.047,947.124,973.065,48.08,25.94,74.02,9.98,0,1.7,17.6,2,1,SUCCESS
8,map_fix1,person,SYSTEMATIC,897.148,962.284,986.379,65.14,24.10,89.23,10.65,0,1.6,12.3,2,1,SUCCESS
9,map_fix1,person,SYSTEMATIC,898.411,933.132,959.123,34.72,25.99,60.71,9.17,0,1.4,7.6,1,1,SUCCESS
10,map_fix1,person,SYSTEMATIC,884.604,947.693,971.395,63.09,23.70,86.79,11.01,0,1.9,12.0,2,1,SUCCESS
1,map_fix1,person,RANDOM,1281.050,1505.695,1529.620,224.64,23.92,248.57,41.15,0,1.5,9.8,6,1,SUCCESS
2,map_fix1,person,RANDOM,896.547,948.103,964.425,51.56,16.32,67.88,11.33,0,1.9,12.6,1,1,SUCCESS
3,map_fix1,person,RANDOM,901.822,1289.945,1319.295,388.12,29.35,417.47,73.73,0,1.7,9.3,9,1,SUCCESS
4,map_fix1,person,RANDOM,905.523,966.293,999.402,60.77,33.11,93.88,14.38,0,1.7,8.5,2,1,SUCCESS
5,map_fix1,person,RANDOM,886.584,1031.646,1059.459,145.06,27.81,172.88,28.55,0,1.7,11.3,4,1,SUCCESS
